Urutan_Terdekat,Index_Film_Rekomendasi,Skor_Jarak
1,0,0.0
2,1301,0.25019620867021247
3,7,1.4237828397048264
4,126,1.427043102277771
5,1155,1.4280860709172232
6,326,1.4319860613767519
7,1164,1.4495683090890796
